Year,Month,Model,Units_Sold,Price,Revenue,Dealer,Region,Fuel_Type,Transmission
2020,2,3 Series,24,47143.54,1131444.96,Dealer_16,Europe,Diesel,Manual
2020,12,i8,16,129651.43,2074422.88,Dealer_28,North America,Petrol,Manual
2013,4,i8,22,151284.79,3328265.3800000004,Dealer_36,Europe,Electric,Manual
2017,10,X3,26,54855.8,1426250.8,Dealer_1,Europe,Electric,Automatic
2014,3,X1,16,41550.74,664811.84,Dealer_22,North America,Petrol,Automatic
2011,6,X5,18,70272.66,1264907.8800000001,Dealer_3,Africa,Electric,Manual
2024,7,5 Series,20,58608.67,1172173.4,Dealer_41,South America,Hybrid,Manual
2021,2,3 Series,22,46131.92,1014902.24,Dealer_50,Asia,Petrol,Manual
2023,2,X6,18,68837.45,1239074.0999999999,Dealer_41,Asia,Diesel,Automatic
2015,4,M5,20,102909.8,2058196.0,Dealer_44,Africa,Petrol,Manual
2018,12,X1,17,33215.73,564667.41,Dealer_25,Asia,Diesel,Automatic
2023,1,X1,22,40128.93,882836.46,Dealer_21,Middle East,Hybrid,Manual
2013,10,Z4,22,49720.17,1093843.74,Dealer_42,Middle East,Electric,Automatic
2012,5,7 Series,18,82789.0,1490202.0,Dealer_36,South America,Hybrid,Automatic
2024,10,X6,23,70601.93,1623844.39,Dealer_9,South America,Electric,Manual
2022,1,5 Series,15,52021.88,780328.2,Dealer_11,Africa,Electric,Manual
2016,7,M3,18,83918.55,1510533.9000000001,Dealer_34,Asia,Petrol,Manual
2020,9,X3,18,54267.82,976820.76,Dealer_22,North America,Hybrid,Automatic
2012,8,3 Series,22,49818.08,1095997.76,Dealer_47,Asia,Diesel,Manual
2023,11,X3,22,55320.04,1217040.8800000001,Dealer_33,South America,Diesel,Manual
2015,3,i8,14,166046.99,2324657.86,Dealer_34,North America,Hybrid,Automatic
2010,2,X5,19,75635.08,1437066.52,Dealer_20,Europe,Petrol,Manual
2024,10,5 Series,26,50913.28,1323745.28,Dealer_32,North America,Diesel,Manual
2020,8,i8,18,132935.33,2392835.94,Dealer_34,South America,Electric,Manual
2024,9,Z4,25,55348.01,1383700.25,Dealer_46,Asia,Electric,Automatic
2017,9,i3,24,42133.56,1011205.44,Dealer_15,North America,Hybrid,Manual
2019,9,X1,25,37678.62,941965.5000000001,Dealer_1,North America,Petrol,Manual
2011,1,X5,19,59881.72,1137752.68,Dealer_16,Asia,Electric,Manual
2018,3,Z4,27,59032.71,1593883.17,Dealer_37,South America,Electric,Manual
2022,8,X6,19,66998.61,1272973.59,Dealer_7,Africa,Electric,Automatic
2016,7,i3,18,52161.8,938912.4,Dealer_4,Africa,Petrol,Manual
2016,12,X5,24,74111.55,1778677.2000000002,Dealer_7,Europe,Diesel,Manual
2018,8,7 Series,27,87257.98,2355965.46,Dealer_18,Middle East,Diesel,Manual
2017,9,5 Series,15,50334.71,755020.65,Dealer_35,North America,Petrol,Manual
2012,7,i3,25,46998.34,1174958.5,Dealer_26,North America,Diesel,Automatic
2010,7,X3,25,56541.86,1413546.5,Dealer_30,Asia,Electric,Automatic
2012,4,X3,21,46334.89,973032.69,Dealer_4,South America,Petrol,Automatic
2010,1,M3,18,73012.56,1314226.08,Dealer_34,Europe,Petrol,Manual
2023,3,5 Series,28,59318.08,1660906.24,Dealer_44,Europe,Electric,Manual
2024,10,X1,20,37578.65,751573.0,Dealer_3,South America,Petrol,Automatic
2020,10,M3,17,73978.44,1257633.48,Dealer_17,Europe,Hybrid,Manual
2014,7,7 Series,18,93628.1,1685305.8,Dealer_20,Middle East,Hybrid,Manual
2010,8,M3,29,83967.54,2435058.6599999997,Dealer_7,North America,Diesel,Automatic
2012,6,5 Series,25,64007.96,1600199.0,Dealer_24,Asia,Diesel,Automatic
2023,9,Z4,28,49537.76,1387057.28,Dealer_42,South America,Petrol,Automatic
2024,11,5 Series,18,64992.35,1169862.3,Dealer_9,Asia,Petrol,Manual
2021,9,7 Series,17,83444.88,1418562.96,Dealer_39,Europe,Hybrid,Manual
